SERIES,PROVINSI,SEKTOR,NILAI_PDRB,NILAI_PBB,is_invalid
202102,Jawa Timur,Tambang dan Gali,37828.89,78658404160.0,False
202201,Jawa Timur,Tambang dan Gali,35869.25,314046748.0,False
202202,Jawa Timur,Tambang dan Gali,35995.94,152980338340.0,False
202301,Jawa Timur,Tambang dan Gali,36744.46,675676791.0,False
202302,Jawa Timur,Tambang dan Gali,36313.32,144786499003.0,False
201402,Jawa Timur,"Tani, Hutan, dan Ikan",75423.29,69173146960.0,False
201501,Jawa Timur,"Tani, Hutan, dan Ikan",83029.73,22610088345.0,False
201502,Jawa Timur,"Tani, Hutan, dan Ikan",77859.66,125633109346.0,False
201601,Jawa Timur,"Tani, Hutan, dan Ikan",84912.63,30505093243.0,False
201602,Jawa Timur,"Tani, Hutan, dan Ikan",79850.28,44097143946.0,False
201701,Jawa Timur,"Tani, Hutan, dan Ikan",85983.07,15540524133.0,False
201702,Jawa Timur,"Tani, Hutan, dan Ikan",81377.49,106822501251.0,False
201801,Jawa Timur,"Tani, Hutan, dan Ikan",83589.0,83706146841.0,False
201802,Jawa Timur,"Tani, Hutan, dan Ikan",80210.94,125939778132.0,False
201901,Jawa Timur,"Tani, Hutan, dan Ikan",85395.08,30158372852.0,False
201902,Jawa Timur,"Tani, Hutan, dan Ikan",80556.15,59270132863.0,False
202001,Jawa Timur,"Tani, Hutan, dan Ikan",85045.36,18854004957.0,False
202002,Jawa Timur,"Tani, Hutan, dan Ikan",82585.88,142073664544.0,False
202101,Jawa Timur,"Tani, Hutan, dan Ikan",86162.23,7418219223.0,False
202102,Jawa Timur,"Tani, Hutan, dan Ikan",84394.55,197469380476.0,False
202201,Jawa Timur,"Tani, Hutan, dan Ikan",88326.64,23057819917.0,False
202202,Jawa Timur,"Tani, Hutan, dan Ikan",85420.92,154586227962.0,False
202301,Jawa Timur,"Tani, Hutan, dan Ikan",90123.95,93848852992.0,False
202302,Jawa Timur,"Tani, Hutan, dan Ikan",87544.42,69740177980.0,False
